"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.985288550E-1,-5.281258583E0,-1.443769336E0,1.004806042E1,1.144288776E1
3.010528140E-1,-5.528018475E0,-1.659123421E0,9.985847473E0,1.153381240E1
3.035767720E-1,-5.695516109E0,-1.860120535E0,9.904491425E0,1.157574631E1
3.061007300E-1,-5.762515068E0,-2.023131609E0,9.813264847E0,1.155853833E1
3.086246890E-1,-5.752943993E0,-2.073380709E0,9.717552185E0,1.148155445E1
3.111486470E-1,-5.633302689E0,-2.073380709E0,9.621838570E0,1.134075766E1
3.136726050E-1,-5.513661385E0,-2.030309916E0,9.597910881E0,1.125355559E1
3.161965640E-1,-5.321936607E0,-1.958226204E0,9.605089188E0,1.115416503E1
3.187205220E-1,-5.058726311E0,-1.862513304E0,9.600303650E0,1.101024513E1
3.212444800E-1,-4.812265396E0,-1.762014747E0,9.578767776E0,1.086348868E1
3.237684390E-1,-4.596612453E0,-1.692622900E0,9.550054550E0,1.073300332E1
3.262923970E-1,-4.386044025E0,-1.659123421E0,9.487840652E0,1.058343956E1
3.288163550E-1,-4.228117466E0,-1.649552107E0,9.425627708E0,1.046137931E1
3.313403140E-1,-4.148855209E0,-1.656730533E0,9.320343018E0,1.033569299E1
3.338642720E-1,-4.127319813E0,-1.687837243E0,9.154939651E0,1.018314703E1
3.363882300E-1,-4.089034557E0,-1.723729610E0,8.980263710E0,1.001681505E1
3.389121890E-1,-4.036392689E0,-1.718943954E0,8.784051895E0,9.818696550E0
3.414361470E-1,-4.043570995E0,-1.716551185E0,8.633005142E0,9.686371465E0
3.439601050E-1,-4.067499161E0,-1.697408557E0,8.520542145E0,9.592986171E0
3.464840640E-1,-4.141676903E0,-1.663909078E0,8.470293045E0,9.574337849E0
3.490080220E-1,-4.206283092E0,-1.599302888E0,8.432007790E0,9.557684999E0
3.515319800E-1,-4.242474556E0,-1.563410521E0,8.393722534E0,9.534013887E0
3.540559390E-1,-4.254438877E0,-1.498804331E0,8.307580948E0,9.453177550E0
3.565798970E-1,-4.261617184E0,-1.424626827E0,8.183154106E0,9.335681750E0
3.591038550E-1,-4.247260094E0,-1.393221021E0,7.986643791E0,9.152418378E0
3.616278140E-1,-4.213760853E0,-1.383649707E0,7.783253670E0,8.958197627E0
3.641517720E-1,-4.160819530E0,-1.369292736E0,7.594220638E0,8.766958929E0
3.666757300E-1,-4.045963764E0,-1.393221021E0,7.447959423E0,8.589702391E0
3.691996890E-1,-3.849752426E0,-1.446162224E0,7.395317554E0,8.461837900E0
3.717236470E-1,-3.586242914E0,-1.498804331E0,7.443173885E0,8.396927423E0
3.742476050E-1,-3.330210924E0,-1.553839207E0,7.606184959E0,8.447412072E0
3.767715640E-1,-3.334996462E0,-1.697408557E0,7.929215908E0,8.767888122E0
3.792955220E-1,-3.614956856E0,-1.946262121E0,8.630612373E0,9.557369892E0
3.818194800E-1,-3.279961586E0,-1.987239242E0,8.915657043E0,9.705473112E0
3.843434390E-1,-2.994916677E0,-1.982453585E0,8.870193481E0,9.569742970E0
3.868673970E-1,-2.736491680E0,-1.917548299E0,8.731410027E0,9.348951773E0
3.893913550E-1,-2.506481647E0,-1.788335800E0,8.537292480E0,9.075569298E0
3.919153140E-1,-2.355733871E0,-1.671087503E0,8.372187614E0,8.856384193E0
3.944392720E-1,-2.260020971E0,-1.553839207E0,8.262117386E0,8.705440527E0
3.969632300E-1,-2.243271112E0,-1.436590910E0,8.120641708E0,8.546395760E0
3.994871890E-1,-2.281556368E0,-1.347757339E0,7.974679470E0,8.403419658E0
4.020111470E-1,-2.520838737E0,-1.268794179E0,7.857431412E0,8.348873876E0
4.045351050E-1,-3.251247883E0,-1.113260746E0,8.029714584E0,8.734201657E0
4.070590640E-1,-3.531208038E0,-1.022333503E0,7.926823139E0,8.737798412E0
4.095830220E-1,-3.416352510E0,-9.266205430E-1,7.687541008E0,8.463354941E0
4.121069800E-1,-3.258426189E0,-8.476574421E-1,7.440781116E0,8.167073405E0
4.146309390E-1,-3.200998545E0,-8.931210637E-1,7.270890713E0,7.994367309E0
4.171548970E-1,-3.279961586E0,-1.007976532E0,7.189534664E0,7.966402788E0
4.196788550E-1,-3.485744476E0,-1.158724308E0,7.122535706E0,8.013961034E0
4.222028140E-1,-3.749253988E0,-1.302293777E0,7.077072144E0,8.114051064E0
4.247267720E-1,-4.122534275E0,-1.381256819E0,7.117750168E0,8.340595105E0
4.272507300E-1,-4.613361835E0,-1.326221943E0,7.670791149E0,9.048923081E0
4.297746890E-1,-4.577469826E0,-1.285543919E0,7.773682594E0,9.112408806E0
4.322986470E-1,-4.386044025E0,-1.230509043E0,7.620542049E0,8.878299152E0
4.348226050E-1,-4.084249020E0,-1.170688510E0,7.493422985E0,8.614115722E0
4.373465640E-1,-3.763610840E0,-1.153938770E0,7.321139812E0,8.312366053E0
4.398705220E-1,-3.440280676E0,-1.156331539E0,7.139285564E0,8.008872088E0
4.423944800E-1,-3.126821041E0,-1.180259824E0,6.957131863E0,7.718270974E0
4.449184390E-1,-2.935096025E0,-1.199402332E0,6.844669342E0,7.543397977E0
4.474423970E-1,-2.779562712E0,-1.185045362E0,6.772884369E0,7.416351128E0
4.499663550E-1,-2.650350094E0,-1.151545882E0,6.732206345E0,7.326186990E0
4.524903140E-1,-2.533101797E0,-1.101296663E0,6.734599113E0,7.279030449E0
4.550142720E-1,-2.427518606E0,-1.022333503E0,6.751348972E0,7.246980428E0
4.575382300E-1,-2.315055847E0,-8.883354068E-1,6.806384087E0,7.243996667E0
4.600621890E-1,-2.154736757E0,-7.229315639E-1,6.887740135E0,7.253032794E0
4.625861470E-1,-1.992024899E0,-6.463612318E-1,7.043572426E0,7.348323520E0
4.651101050E-1,-1.785943031E0,-5.458626747E-1,7.316354275E0,7.550933614E0
4.676340640E-1,-1.561017632E0,-4.214358926E-1,7.536494255E0,7.707991302E0
4.701580220E-1,-1.347757339E0,-3.185445070E-1,7.742575645E0,7.865455999E0
4.726819800E-1,-1.156331539E0,-2.321037948E-1,7.957930088E0,8.044850905E0
4.752059390E-1,-9.840483069E-1,-1.292124242E-1,8.161619186E0,8.221744016E0
4.777298970E-1,-8.066803217E-1,-5.264209956E-2,8.372187614E0,8.411125358E0
4.802538550E-1,-6.655037999E-1,-4.785645287E-3,8.589934349E0,8.615677009E0
4.827778140E-1,-6.056832075E-1,4.785645287E-3,8.863015175E0,8.883688031E0
4.853017720E-1,-6.128616929E-1,-1.435693540E-2,9.152546883E0,9.173054018E0
4.878257300E-1,-6.224330068E-1,2.871387079E-2,9.451948166E0,9.472463854E0
4.903496890E-1,-6.774678826E-1,4.307080805E-2,9.686445236E0,9.710202837E0
4.928736470E-1,-7.612167001E-1,1.124626622E-1,9.916455269E0,9.946264817E0
4.953976050E-1,-8.377870321E-1,1.890329868E-1,1.012941647E1,1.016576109E1
4.979215640E-1,-9.314061999E-1,2.679961324E-1,1.028734303E1,1.033289727E1
5.004455220E-1,-9.816554785E-1,3.879363835E-1,1.039771175E1,1.045115074E1
5.029694800E-1,-1.007976532E0,4.956133962E-1,1.044556808E1,1.050578612E1
5.054934390E-1,-9.984052777E-1,5.985047817E-1,1.042403316E1,1.048882684E1
5.080173970E-1,-9.529415965E-1,7.229315639E-1,1.032323551E1,1.039230096E1
5.105413550E-1,-8.931210637E-1,8.090731502E-1,1.020120144E1,1.027213587E1
5.130653140E-1,-8.018946648E-1,8.907282352E-1,1.006480980E1,1.013591773E1
5.155892720E-1,-6.678966284E-1,9.625129104E-1,9.890133858E0,9.959280332E0
5.181132300E-1,-5.219344497E-1,1.046261668E0,9.688838005E0,9.759132182E0
5.206371890E-1,-3.831507266E-1,1.156331539E0,9.466305733E0,9.544362280E0
